Feature Name,Score
InfantCauseRecode130,41735504.44
CauseRecode358,18343429.95
CauseRecode113,7061833.783
CauseRecode39,1901589.418
InfantAgeRecode22,1321802.671
Age,301918.9898
AgeRecode52,140206.6612
AgeRecode27,99381.72367
PlaceOfDeathAndDecedentsStatus,64387.82001
AgeType,49094.86958
AgeRecode12,42422.68388
HispanicOrigin,29375.98758
Education1989Revision,11146.9898
Race,9888.711927
MaritalStatus,9430.695876
Education2003Revision,7610.949826
Sex,3247.46002
RaceRecode3,2684.279982
PlaceOfInjury,2362.62571
RaceImputationFlag,1482.107773
RaceRecode5,937.4828691
ResidentStatus,846.3490191
MonthOfDeath,818.132552
BridgedRaceFlag,679.9493547
MethodOfDisposition,674.5615574
Autopsy,614.1502081
AgeSubstitutionFlag,259.8281721
HispanicOriginRaceRecode,152.1774966
MannerOfDeath,101.6639096
EducationReportingFlag,3.28E+01
DayOfWeekOfDeath,30.6051864
InjuryAtWork,9.897321039
CurrentDataYear,2.61E-24
ActivityCode,1.28E-25
